premise	hypo	label
L' écrémage conceptuel de la crème a deux dimensions fondamentales : le produit et la géographie .	Le produit et la géographie sont ce qui fait travailler la crème de la crème .	neutral
Tu sais pendant la saison et je suppose qu' à ton niveau euh tu les perds au niveau suivant si s' ils décident de se rappeler l' équipe des parents les braves décident d' appeler pour rappeler un mec du triple a puis un double un mec monte à remplacez-le et un seul homme monte pour le remplacer .	Vous perdez les choses au niveau suivant si les gens se rappellent .	entailment
Un de nos numéros vous fera suivre vos instructions minutieusement .	Un membre de mon équipe exécutera vos ordres avec une grande précision .	entailment
Qu' est-ce que tu en sais ? Tout ceci est à nouveau leur information .	Cette information leur appartient .	entailment
Ouais je te dis ce que si tu vas prix certaines de ces chaussures de tennis je peux voir pourquoi maintenant tu sais qu' ils se se dans la gamme des cent dollars	Les chaussures de tennis ont une gamme de prix .	neutral
Mon Walkman S' est cassé alors je suis en colère maintenant je dois juste tourner la stéréo très fort	Je suis contrarié que mon walkman soit cassé et maintenant je dois tourner la stéréo très fort .	entailment
Mais quelques mosaïques chrétiennes survivent au-dessus de l' abside , c' est la vierge avec l' enfant Jésus , avec L' Archange Gabriel à droite ( son compagnon Michael , à gauche , a disparu pour quelques plumes de ses ailes ) .	La plupart des mosaïques chrétiennes ont été détruites par les musulmans .	neutral
( lire les conclusions de l' ardoise sur les résultats de Jackson . )	Slate avait un avis sur les conclusions de Jackson .	entailment
Gays et lesbiennes .	Les hétérosexuels .	contradictory
A la fin de la rue des francs-Bourgeois est ce que beaucoup considèrent comme la plus belle place résidentielle de la ville , la place des Vosges , avec ses façades en pierre et en briques rouges .	La place des Vosges est entièrement construite en marbre gris .	contradictory
J' ai traversé un ensemble de portes de cabine , et je suis tombé au sol	J' ai traversé les portes et je suis tombé .	entailment
Amusant pour les adultes et les enfants .	Amusant pour seulement les enfants .	contradictory
Ce n' est pas que les questions qu' ils ont posées n' étaient pas intéressantes ou légitimes ( bien que la plupart d' entre elles relèvent de la catégorie de la demande et de la réponse ) .	Toutes les questions étaient intéressantes selon un groupe de discussion consulté à ce sujet .	neutral
Thèbes régna sur le pouvoir jusqu' à la 12 ème dynastie , lorsque son premier roi , amenemhet iwho , régna entre 1980 1951 av. J c. Et établit une capitale près de Memphis .	La capitale près de Memphis N' a duré qu' un demi-siècle avant que ses habitants ne l' abandonnent pour la capitale suivante .	neutral
Je ne veux pas être désinvolte à propos de vos préoccupations , mais si j' étais vous , je serais peut-être plus préoccupé par les implications à court terme de ces 1 dollars .	Je m' inquiète davantage de vos problèmes que des implications à court terme .	contradictory
Questions relatives à la synthèse des données .	Problèmes de synthèse des données .	entailment
Eh bien tu vois ça à la télévision aussi	Vous pouvez voir ça à la télévision aussi .	entailment
Vrenna et moi l' avons combattu et il a failli nous prendre .	Ni Vrenna , ni moi-même ne l' avons jamais combattu .	contradictory
Cette analyse a regroupé les estimations de ces deux études pour développer une fonction c-R reliant les particules à la bronchite chronique .	L' analyse prouve qu' il n' y a pas de lien entre le pm et la bronchite .	contradictory
