premise	hypo	label
Konzeptionell cream abschöpfen hat zwei grundlegende Dimensionen - Produkt und Geographie .	Produkt und Geographie sind das , was creme abschöpfen Arbeit macht .	neutral
Du weißt , während der Saison und ich schätze , auf deiner Ebene verlierst du sie auf die nächste Ebene , wenn sie sich entschließen , sich an das Eltern-Team zu erinnern , entscheiden die braves , einen Kerl von Triple A zu rufen , dann geht ein Double ein Kerl auf die nächste Stufe . Ersetzen sie ihn und ein einziger Mann geht hoch , um ihn zu ersetzen .	Man verliert die Dinge auf die folgende Ebene , wenn sich die Leute erinnern .	entailment
Eine unserer Nummer wird ihre Anweisungen genauestens ausführen .	Ein Mitglied meines Teams wird ihre Aufträge mit großer Präzision ausführen .	entailment
- woher weißt du das ? All das sind ihre Informationen .	Diese Information gehört ihnen .	entailment
Ja , ich sag dir was , wenn du ein paar dieser Tennis Schuhe gehen , kann ich sehen , warum du jetzt weißt , dass sie in der-Dollar-Reichweite stehen .	Die Tennis Schuhe haben eine Reihe von Preisen .	neutral
Mein Walkman ist kaputt , also bin ich sauer , jetzt muss ich nur noch die Stereoanlage ganz laut drehen .	Ich bin sauer , dass mein Walkman kaputt ist , und jetzt muss ich die Stereoanlage richtig laut drehen .	entailment
Aber ein paar christliche Mosaiken überleben über der Apsis ist die Jungfrau mit dem Kleinkind Jesus , mit dem Erzengel Gabriel rechts ( sein Begleiter Michael , links , ist verschwunden für ein paar Federn von seinen Flügeln ) .	Die meisten christlichen Mosaiken wurden von Muslimen zerstört .	neutral
( lesen sie die Ergebnisse von Jackson in Bezug auf die Ergebnisse von Jackson . )	Schiefer hatte eine Meinung zu den Ergebnissen von Jackson .	entailment
Schwule und Lesben .	Heterosexuelle .	contradictory
Am Ende der Rue des Francs-Bourgeois ist das , was viele für den schönsten Platz der Stadt , den Place des Vosges , mit seinen Stein-und roten Brick halten .	Der Place des Vosges ist komplett aus grauem Marmor gebaut .	contradictory
Ich brach durch eine Reihe von Kabinen Türen und fiel auf den Boden .	Ich brach durch die Türen und fiel runter .	entailment
Spaß für Erwachsene und Kinder .	Spaß für nur Kinder .	contradictory
Es ist nicht so , dass die Fragen , die Sie gestellt haben , nicht interessant oder legitim waren ( obwohl die meisten unter die Kategorie der bereits gestellten und Antworten fallen ) .	Alle Fragen waren nach einer konzentrieren , die zu diesem Thema Konsultiert wurde , interessant .	neutral
Theben hielt an der macht bis zur 12 Dynastie , als sein erster König , amenemhet iwho , zwischen 1980 und 1951 v. Chr.	Die Hauptstadt in der Nähe von Memphis dauerte nur ein halbes Jahrhundert , bevor die Bewohner sie für die nächste Hauptstadt verließen .	neutral
Ich will nicht vorschnell über ihre Sorgen reden , aber wenn ich sie wäre , könnte ich mir mehr sorgen um die langfristigen Auswirkungen dieser $ 1 machen .	Ich sorge mich mehr um ihre Probleme als um die Auswirkungen auf die kurz-und langfristigen Auswirkungen .	contradictory
Probleme in der Daten .	Probleme im Zusammenhang mit der Daten-Synthese .	entailment
Das sieht man auch im Fernsehen .	Das kann man auch im Fernsehen sehen .	entailment
Entschied und ich haben beide gegen ihn gekämpft , und er hat uns fast genommen .	Weder entschied noch ich haben jemals gegen ihn gekämpft .	contradictory
Diese Analyse gepoolten Schätzungen aus diesen beiden Studien zur Entwicklung einer C-R-Funktion , die PM mit chronischer Bronchitis verbindet .	Die Analyse zeigt , dass es keine Verbindung zwischen PM und Bronchitis gibt .	contradictory
