premise	hypo	label
- و قد ال كريم المفاهيمية اثنان اساسيين - المنتج والجغرافيا .	المنتج والجغرافيا هو ما يجعل كريم القشط العمل .	neutral
انت تعرف خلال الموسم و اعتقد انه عند المستوى الخاص بك تفقديهم للمستوى التالي اذا قرروا ان اذكار الفريق الام الذي قرر الشجعان الاتصال به لاستذكر رجل من ثلاث مرات ثم رجل مزدوج يذهب الى استبدلوه وشخص واحد يذهب ليحل محله	انت تفقد الاشياء الى المستوى التالي اذا كان الناس يتذكرون .	entailment
واحدة من رقابنا ستقوم بتنفيذ تعليماتك كلها بكل دقة	احد اعضاء فريقي سوف ينفذ اوامرك بدقة هائلة .	entailment
وكيف تعرف ذلك ? كل هذا هو معلوماتهم مرة اخرى .	هذه المعلومات تخصهم .	entailment
نعم , انا اقول لك ماذا لو ذهبت ل السعر بعض احذية التنس هذه استطيع ان ارى لماذا الان انت تعرف انهم ان في نطاق مائة دولار	احذية التنس لها مجموعة من الاسعار .	neutral
جهاز الكاسيت الخاص بي انكسر لذا انا منزعج الان انا فقط يجب ان ارفع صوت المسجل بصوت عال جدا	انا مستاء لان جهاز الاستماع الخاص بي انكسر والان علي ان ارفع صوت المسجل بصوت عال جدا .	entailment
ولكن بعض الفسيفساء المسيحية على قيد الحياة فوق المذبح هي العذراء مع المسيح الرضيع , مع كبير الملائكة جبريل الى اليمين ( رفيقته مايكل , الى اليسار , اختفى من اجل الحصول على القليل من الريش من جناحيه ) .	وقد دمر المسلمون معظم الفسيفساء المسيحية .	neutral
( اقرا ل ( سليت ) على النتائج التي توصل اليها ( جاكسون )	( سليت ) كان لديه راي بشان نتائج ( جاكسون ) .	entailment
الشواذ والسحاقيات .	الجنس جنسيا .	contradictory
في نهاية شارع des-- البرجوازية هو ما يعتبر العديد من الناس ان يكون اكثر مربع سكني وسيم في المدينة , وهو مكان des , مع حجرته الحجرية والطوب الاحمر .	مكان ( ديس الفوج ) هو بالكامل من الرخام الرمادي .	contradictory
لقد انفجرت من خلال مجموعة من ابواب المقصورة , وسقطت على الارض	لقد انفجرت من خلال الابواب وسقطت .	entailment
متعة للكبار والاطفال .	متعة للاطفال فقط .	contradictory
ليس الامر ان الاسئلة التي طلبها لم تكن مثيرة للاهتمام او مشروعة ( رغم ان معظمها يقع تحت فئة من سبق ان سئل واجاب ) .	وقد كانت جميع الاسئلة مثيرة للاهتمام وفقا لمجموعة التركيز التي اجريت مشاورات بشان هذا الموضوع .	neutral
" ثيبس " كانت تحتفظ بالسلطة حتى السلالة 12 عندما كان ملكها الاول " amenemhet iwho " حكم بين عام 1980 قبل الميلاد انشا عاصمة بالقرب من " ممفيس "	وقد استمرت العاصمة بالقرب من ممفيس نصف قرن فقط قبل ان يتخلى عنها سكانها عن العاصمة القادمة .	neutral
لا اقصد ان اكون عفويا بشان مخاوفه , لكن لو كنت بمكانك , قد اكون اكثر قلقا بشان ما يترتب على هذه ال 1 دولار من اثار على المدى القريب .	انا قلق بشان قضيتك اكثر من الاثار على المدى القريب .	contradictory
- القضايا في توليف البيانات .	- المشاكل في توليف البيانات .	entailment
حسنا , انت ترى ذلك على التلفاز ايضا	انت يمكن ان ترى ذلك على التلفزيون , ايضا .	entailment
انا و ( vrenna ) قاتلناه و كاد ان ياخذ منا .	لا vrenna ولا نفسي ابدا قاومته .	contradictory
وقد جمع هذا التحليل تقديرات من هاتين الدراستين لتطوير وظيفة c-r تربط مساء بالتهاب الشعب الهوائية المزمن .	التحليل يثبت انه لا يوجد رابط بين مساء و التهاب القصبات الهوائية .	contradictory
